Filename, Records (Actual), Labeled Size, DataType, ParameterSet, Pivot Type, KStop, InsertionSort, Time(nS), Time(uS), Time(mS), Final Check Result, User Generated Data, GaussianSequential, Presorted sample [1:30], Sorted sample [1:30], Path, Full Path
asc10K.dat, 10000, 10000, ASCENDING, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 50119700, 50119, 50.12, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 35896100, 35896, 35.9, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 31979900, 31979, 31.98, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 8718400, 8718, 8.72, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_MID_K_1_NO_IS_ALT, MEDIAN_OF_THREE_WITH_SWAPS, 1, No, 5002300, 5002, 5, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 4931000, 4931, 4.93, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 1677100, 1677, 1.68, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 509000, 509, 0.51, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 419800, 419, 0.42, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 133900, 133, 0.13, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
