Filename, Records (Actual), Labeled Size, DataType, ParameterSet, Pivot Type, KStop, InsertionSort, Time(nS), Time(uS), Time(mS), Final Check Result, User Generated Data, GaussianSequential, Presorted sample [1:30], Sorted sample [1:30], Path, Full Path
asc10K.dat, 10000, 10000, ASCENDING, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 40844800, 40844, 40.84, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 32546900, 32546, 32.55, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 29298600, 29298, 29.3, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 8338900, 8338, 8.34, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_MID_K_1_NO_IS_ALT, MEDIAN_OF_THREE_WITH_SWAPS, 1, No, 5044100, 5044, 5.04, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc10K.dat, 10000, 10000, ASCENDING, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 7089000, 7089, 7.09, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc10K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 7151900, 7151, 7.15, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 460500, 460, 0.46, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 895400, 895, 0.9, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 96000, 96, 0.1, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
